question,answer,A,B,C,D,Category,Human Accuracy
한글 Windows XP의 [인터넷 프로토콜(TCP/IP) 등록정보] 창에서 설정하는 게이트웨이에 관한 설명으로 옳지 않은 것은?,2,네트워크 사이에서 IP 패킷을 라우팅하거나 전달할 수 있는 여러 개의 실제 TCP/IP 네트워크에 연결된 장치이다.,인터넷을 사용할 때 문자로 이루어진 주소를 숫자로 이루어진 IP 주소로 변환하는 역할을 한다.,서로 다른 전송 프로토콜이나 IPX 및 IP와 같은 데이터 형식 간의 변환을 담당하며 주로 이 변환 기능 때문에 네트워크에 추가된다.,IP 라우터라고도 한다.,Information Technology,0.0
한글 Windows XP에서 동일한 드라이브 내에 비실행 파일의 복사를 수행하기 위한 방법으로 옳지 않은 것은?,2,[Ctrl] 키를 누른 상태로 근원지 폴더의 파일을 왼쪽 마우스로 끌어다 목적지 폴더에 놓는다.,오른쪽 마우스 버튼을 누른 상태로 근원지 폴더의 파일을 끌어다 목적지 폴더에 놓은 후 해당 폴더 창을 클릭한다.,근원지 폴더에서 파일을 오른쪽 마우스로 클릭하고 [복사]를 선택한 후 목적지 폴더로 이동하여 [붙여넣기]를 실행한다.,근원지 폴더에서 파일을 선택하여 [Ctrl] +[C] 키를 누른 후에 목적지 폴더 에서 [Ctrl] + [V] 키를 누른다.,Information Technology,0.0
한글 Windows XP에서 [제어판]에 있는 [글꼴]에 관한 설명으로 옳지 않은 것은?,4,새로운 글꼴을 추가하면 대부분의 응용 프로그램에서 이를 사용할 수 있다.,"글꼴을 등록하려면 글꼴 파일이 필요하며, 글꼴 파일은 .ttc나 .ttf 등의 확장자를 갖는다.",[글꼴] 도구 창에서 [파일]-[새 글꼴 설치] 메뉴를 사용하여 새로운 폰트를 등록할 수 있다.,한글 Windows XP에서는 트루타입 글꼴만 사용할 수 있다.,Information Technology,0.0
한글 Windows XP에서 [인터넷 연결 공유(ICS)]에 관한 설명으로 옳지 않은 것은?,4,한 대의 컴퓨터에 연결된 인터넷 선을 이용하여 네트워크의 모든 컴퓨터가 인터넷을 사용할 수 있도록 한다.,"인터넷에 직접 연결된 컴퓨터를 호스트 컴퓨터라고 하고, 호스트 컴퓨터를 통해 인터넷을 사용하는 컴퓨터를 클라이언트 컴퓨터라고 한다.",호스트 컴퓨터는 클라이언트 컴퓨터의 게이트웨이 역할을 한다.,호스트 컴퓨터가 꺼져 있어도 클라이언트 컴퓨터는 인터넷을 사용할 수 있다.,Information Technology,0.0
"CD-R 기록 24배속, CD-RW 기록 10배속, CD-ROM 읽기 40배속의 특성을 갖는 CD-RW 드라이브에서 650MB의 데이터를 CD-R 미디어에 단순하게 복사하려고 할 때 산술적으로 걸리는 시간은?",1,약 3분,약 5분,약 8분,약 12분,Information Technology,0.6667000000000001
주변장치와 기억장치 간의 데이터 전송 시에 전송 속도 향상을 위해 CPU의 개입 없이 주변장치와 데이터 전송이 이루어지는 방식은?,1,DMA 방식,Cashing 방식,Spooling 방식,Polling 방식,Information Technology,1.0
전송매체 중 광케이블에 대한 설명으로 옳지 않은 것은?,1,건물 내의 근거리 통신망을 구성할 때 저렴하게 이용한다.,대역폭이 넓어 데이터의 전송률이 뛰어나므로 데이터 손실이 적다.,리피터의 설치 간격이 넓어 가입자 회선으로 이용한다.,다른 전송매체보다 크기가 작고 가벼우며 충격이나 잡음이 적다.,Information Technology,1.0
특정 워드프로세서로 만든 문서를 다른 워드프로세서를 이용하여 읽거나 출력하려고 할 때 원래의 문서와 가장 가까운 형태로 변환하려면 어떤 형식으로 저장하는 것이 좋은가?,3,일반 텍스트 파일(*.txt),HTML 문서(*.html),서식 있는 문자열(*.rtf),문서 서식 파일(*.dot),Information Technology,0.0
한글 Windows XP에서 인터넷 연결 공유에 관한 설명으로 옳지 않은 것은?,3,인터넷 연결 공유(ICS)를 사용하면 하나의 외부 인터넷 연결선만을 이용하여 홈 네트워크 또는 소규모 네트워크에 속한 컴퓨터를 인터넷에 연결할 수 있다.,인터넷 연결 공유를 설정한 다음에 네트워크의 모든 컴퓨터가 서로 통신하고 인터넷에 액세스할 수 있으면 Internet Explorer 및 Outlook Express와 같은 프로그램을 인터넷 서비스 공급자(ISP)에 직접 연결된 것처럼 사용할 수 있다.,[제한된 사용자] 계정으로 로그온 한 사용자도 인터넷 연결 공유를 설정할 수 있다.,인터넷 연결 공유를 사용하면 홈 네트워크 또는 소규모 네트워크에 연결된 모든 컴퓨터에 새로운 고정 IP 주소가 기본적으로 설정되기 때문에 TCP/IP 연결의 재설정이 필요하다.,Information Technology,0.0
한글 Windows XP에서 프린터의 스풀 설정을 [마지막 페이지까지 스풀한 후 인쇄 시작]을 선택한 경우에 대한 설명으로 옳은 것은?,2,인쇄 속도는 빨라지지만 동시에 다른 작업을 병행할 수 없다.,문서 전체를 스풀한 다음에 내용을 한 번에 프린터로 전송하는 방식이다.,하드디스크 공간을 가장 적게 사용하는 방식이다.,프린터를 공유하여 사용하는 경우에는 사용할 수 없다.,Information Technology,0.0
한글 Windows XP의 네트워크 드라이브 연결에 관한 설명으로 옳지 않은 것은?,2,로그온 할 때마다 연결된 드라이브에 다시 연결하려면 [네트워크 드라이브 연결] 창에서 [로그온 할 때 다시 연결] 확인란을 선택한다.,해당 호스트 컴퓨터가 사용 가능하지 않아도 연결된 드라이브를 사용할 수 있다.,네트워크 드라이브는 Z부터 A까지 문자가 지정되지만 하드 드라이브 및 이동식 저장소 장치와 같은 로컬 드라이브는 A부터 Z까지 지정된다.,해당 드라이브의 연결을 끊은 다음 새 드라이브 문자로 다시 지정하여 컴퓨터나 공유 폴더를 다른 드라이브 문자로 지정할 수 있다.,Information Technology,0.0
한글 Windows XP에서 [제어판]의 [글꼴]에 관한 설명으로 옳지 않은 것은?,2,[글꼴]을 더블클릭하여 [글꼴] 창을 열면 컴퓨터에 설치된 글꼴을 볼 수 있다.,[프린터]를 설치할 때 설치된 글꼴은 워드패드와 같은 Windows 기반 프로그램의 글꼴 목록에는 표시되지 않지만 [글꼴] 창에는 표시된다.,컴퓨터에 설치된 글꼴을 삭제하려면 [글꼴] 창에서 삭제할 글꼴 아이콘을 선택한 후에 [파일] 메뉴에서 [삭제]를 클릭한다.,컴퓨터에 새 글꼴을 추가하려면 [글꼴] 창에서 [파일] 메뉴의 [새 글꼴 설치]를 클릭한 후에 글꼴을 추가할 수 있다.,Information Technology,0.0
한글 Windows XP에서 [보조 프로그램]의 [사용자 정의 문자 편집기]에 관한 설명으로 옳지 않은 것은?,4,작성한 문자를 글꼴 라이브러리의 특정 글꼴과 연결하여 사용할 수 있다.,기존의 문자를 모델로 하여 새로운 문자를 만들 수 있다.,작성한 문자를 글꼴 라이브러리의 모든 글꼴과 연결하여 사용할 수 있다.,기본으로 아스키코드 문자집합을 사용하여 문자를 만들 수 있다.,Information Technology,0.0
한글 Windows XP에서 [제어판]의 [폴더 옵션] 창의 [일반] 탭에서 수행할 수 없는 것은?,4,같은 창 또는 다른 창에서 폴더 열기에 대한 선택,폴더 열기를 할 때 한번 또는 두 번 클릭의 선택,폴더에 일반 작업 표시 또는 Windows 기본 폴더의 사용을 선택,제목 표시줄에 전체 경로 표시 선택,Information Technology,0.0
한글 Windows XP에서 [작업 표시줄]의 바로 가기 메뉴에서 수행할 수 없는 것은?,3,작업 표시줄에 도구 모음을 추가할 수 있다.,[작업 관리자] 창을 오픈할 수 있다.,바탕 화면 아이콘을 정렬할 수 있다.,작업 표시줄 잠금을 할 수 있다.,Information Technology,0.0
한글 Windows XP에서 사용자 계정이 ‘Administrator'일 때 [내 문서] 폴더가 실제로 저장되어 있는 위치는?,4,C:\Windows\My Documents,C:\My Documents,C:\My Documents\Administrator\내문서,C:\Documents and Setting\Administrator\My Documents,Information Technology,0.0
한글 Windows XP에서 [제한된 계정]을 가진 사용자가 수행할 수 있는 작업 내용이 아닌 것은?,1,프로그램 및 하드웨어 설치,현재 사용자 암호 만들기,현재 사용자의 그림 변경,폴더 생성 및 삭제,Information Technology,1.0
한글 Windows XP에서 [제어판]에 있는 [내게 필요한 옵션] 등록 정보 창의 [키보드] 탭에서 설정할 수 있는 항목이 아닌 것은?,4,"고정키를 사용하면 동시에 두 개의 키를 누르기가 힘든 경우 [Shift], [Ctrl] 또는 [Alt] 키를 눌려 있는 상태로 고정할 수 있다.",필터키를 사용하면 짧은 시간동안 눌려진 키 또는 빠르게 반복되는 키 입력을 무시하도록 하거나 키의 반복 속도를 느리게 지정할 수 있다.,"토글키를 사용하면 [Caps Lock], [Num Lock], [Scroll Lock] 키를 누를 때 신호음을 들을 수 있도록 지정할 수 있다.",바로 가기 키를 사용하면 Windows에서 사용하는 모든 바로 가기 키 설정을 변경할 수 있다.,Information Technology,0.0
10MB의 데이터를 24배속 CD-ROM으로 전송하는데 걸리는 시간은 약 몇 초인가?,2,1초,3초,5초,10초,Information Technology,0.0
장기간의 출장으로 인하여 컴퓨터를 사용하지 않다가 부팅하였을 때 윈도 XP가 정상적으로 시작되지 않는다면 가장 먼저 시도하여야 할 옵션은 무엇인가?,4,안전 모드,부팅 로깅 사용,디버그 모드,마지막으로 성공한 구성,Information Technology,0.0
공문서 작성시 수신기관이 두 군데 이상인 경우에 “수신자 참조”란이 새로이 설정되는 위치는?,4,두문에 표시한다.,본문에 표시한다.,수신란에 표시한다.,발신명의 왼쪽 아래에 표시한다.,Information Technology,0.4
한글 Windows XP에서 디스크 공간을 보다 많이 확보하기 위한 방법으로 가장 올바르지 않은 것은?,4,사용하지 않는 파일을 제거한다.,최근에 시스템 복원한 내용을 제외하고 모두 제거한다.,드라이브나 폴더의 압축을 수행한다.,디스크의 단편화를 제거한다.,Information Technology,0.0
한글 Windows XP에서 문서 편집기인 [메모장] 프로그램의 사용 방법으로 옳지 않은 것은?,2,시스템의 시간과 날짜를 입력하려면 [편집] 주메뉴의 [시간/날짜]를 선택한다.,편집 중인 문서 일부분의 문자 글꼴이나 색상을 변경하려면 [서식] 주메뉴의 [글꼴]을 선택한다.,[편집] 주메뉴의 [찾기]를 선택하면 특정한 문자나 단어를 본문에서 찾을 수 있다.,[메모장] 창의 크기(가로)에 맞도록 텍스트를 편집하려면 [서식] 주메뉴에서 [자동 줄 바꿈]을 선택한다.,Information Technology,0.0
한글 Windows XP에서 파일이나 폴더 만드는 방법으로 옳지 않은 것은?,1,파일이나 폴더 이름에 공백을 사용할 수 있지만 ‘;’는 사용할 수 없다.,작업 표시줄의 바로 가기 메뉴를 이용하여 새로운 폴더를 만들 수 없다.,폴더의 이름과 파일의 이름으로 사용할 수 있는 문자는 서로 같다.,"CON, PRN, AUX, NUL 등과 같은 단어는 파일의 확장명으로는 사용이 가능하지만 파일명으로는 사용할 수 없다.",Information Technology,0.75
한글 Windows XP에서 새로운 글꼴을 설치하는 방법으로 옳은 것은?,2,[제어판]의 [프로그램 추가/제거]를 이용하여 폰트를 설치한다.,‘C:\Windows\Fonts’ 폴더에 해당 글꼴 파일을 복사하면 설치된다.,PnP 기능으로 하드디스크에 복사된 글꼴은 자동으로 설치된다.,새로운 글꼴을 [글꼴 정리 마법사]에 의해 설치할 수 있다.,Information Technology,0.0
대용량의 멀티미디어 자료를 작은 조각으로 나누어 연속적으로 조금씩 전송함으로써 전체를 다운로드(Download) 받지 않고도 실시간(Real-Time)으로 재생시켜 주는 기술을 무엇이라고 하는가?,1,Streaming,Video On Demand,Hypertext,Animation,Information Technology,1.0
"PC에서 메인보드를 구성하는 요소로서 데이터의 송수신과 관련된 제어를 담당하는 것으로 CPU, 기억장치, 시스템버스 간의 데이터 흐름을 제어하는 것은?",2,바이오스,칩셋,모듈 램,연결 포트,Information Technology,0.0
그래픽 기법에서 3차원 애니메이션을 만드는 과정 중의 하나로 물체의 모형에 명암과 색상을 입혀 사실감을 나타내는 처리 과정을 무엇이라고 하는가?,3,디더링,모델링,랜더링,필터링,Information Technology,0.0
"기업체, 은행 등의 본ㆍ지점 간에 발생하는 내부 업무처리를 위해 별도의 네트워크를 구축하기보다 인터넷망을 사용할 경우 재택 근무가 가능해지고 어디에서나 회사 네트워크에 연결하여 작업을 할 수 있게 되었다. 이와 같이 인터넷망을 이용하여 회사 업무의 네트워크를 구축한 것을 무엇이라고 하는가?",1,Intranet,InterLAN,VAN,OSI,Information Technology,1.0
전자출판매체의 제작에서 베타 테스트 과정이란 무엇인가?,3,프로그래밍 과정 중 수시로 각각의 데이터의 프로그램들이 적절하게 작동하는지 확인하는 과정,"초기 개발자들이, 자신들이 개발한 전자출판매체가 실제 활용에 이상이 없는지 확인하는 과정",독자층이나 이용자층과 유사한 외부 인력을 동원하여 실제 활용에 문제가 없는지 확인하는 과정,전자출판매체의 기획 단계에서 기획에 필수적인 다양한 자료들의 적합성을 확인하는 과정,Information Technology,0.0
한글 Windows XP에서 프린터의 스풀에 관한 설명으로 옳지 않은 것은?,2,프린터의 스풀에 관한 설정은 [프린터 및 팩스] 창에 있는 해당 프린터의 [속성] 창에서 설정한다.,프린터를 공유할 때는 스풀 기능을 사용하지 않는 것이 출력이 빠르고 유리하다.,여러 페이지를 인쇄할 경우에 첫 페이지만 스풀에 들어오면 바로 인쇄를 시작할 수 있다.,프린터를 공유하여 여러 페이지를 인쇄할 경우에는 마지막 페이지까지 스풀에 들어온 후에 인쇄를 시작하도록 설정하는 것이 바람직하다.,Information Technology,0.0
한글 Windows XP의 폴더 창에서 파일과 폴더의 관리에 관한 설명으로 옳지 않은 것은?,4,[Alt]-[F]-[M] 키를 차례대로 눌러 이름을 변경할 수 있다.,"파일이나 폴더를 선택한 후에 바로 가기 메뉴에서 [속성]을 선택하면 읽기 전용, 숨김 들의 속성을 지정할 수 있다.",선택한 파일을 [파일]-[보내기] 메뉴를 통해 다른 폴더나 드라이브로 복사할 수 있다.,폴더는 [컴퓨터 관리자] 계정을 가진 사용자만이 만들 수 있다.,Information Technology,0.0
한글 Windows XP의 바탕 화면에서 사용하는 바로 가기 아이콘에 대한 설명으로 옳은 것은?,1,"파일, 폴더 등의 바로 가기 메뉴에서 [보내기]-[바탕 화면에 바로 가기 만들기]를 클릭하면 바탕 화면에 바로 가기 아이콘을 만들 수 있다.","바로 가기 아이콘을 만들려고 하는 파일, 폴더, 프린터 등의 항목 위에서 마우스 오른쪽 버튼을 더블 클릭하면 바로 가기 아이콘이 만들어진다.",바탕 화면에 있는 바로 가기 아이콘 위에서 마우스의 오른쪽 버튼을 더블 클릭하면 바로 가기 아이콘이 삭제된다.,실행 프로그램에 대한 바로 가기 아이콘을 삭제하려면 반드시 [프로그램 추가/제거]를 사용해야만 한다.,Information Technology,0.6
한글 Windows XP의 보조프로그램에 있는 [시스템 정보]에 대한 설명으로 옳지 않은 것은?,4,[시스템 정보]는 로컬 및 원격 컴퓨터의 구성 정보를 수집하고 표시한다.,내 시스템의 하드웨어 리소스와 소프트웨어 환경 등을 보여준다.,[파일] 메뉴의 [내보내기]를 이용하여 시스템 정보를 텍스트 파일로 저장할 수 있다.,"구성 요소 항목에는 시스템 드라이버 등 소프트웨어의 파일명, 상태 등이 표시된다.",Information Technology,0.0
한글 Windows XP에서 홈 네트워크 또는 소규모 네트워크를 인터넷에 연결하고자 할 때 설정하는 유형이 아닌 것은?,4,인터넷 연결 공유(ICS)의 사용,컴퓨터와 xDSL이나 케이블 모뎀을 이더넷 허브에 직접 연결하여 사용,상설 게이트웨이의 사용,포털 사이트에 홈페이지를 등록하여 사용,Information Technology,0.0
한글 Windows XP에서 한 대의 컴퓨터에 여러 대의 모니터를 연결하려고 할 경우에 대한 설명으로 옳지 않은 것은?,1,모니터의 수는 그래픽 어댑터를 설치할 수 있는 슬롯이 있는 한 무한히 연결할 수 있다.,연결한 모든 모니터가 마치 한 대의 모니터를 사용하는 것 처럼 각 모니터는 전체 모니터의 어느 한 부분만을 표시하도록 하여 전체를 나타낼 수 있는 기능을 제공한다.,연결한 모니터들은 예를 들어 하나의 모니터에 워드프로세서의 문서를 다른 모니터에 스프레트시트를 나타내어 서로 참조하면서 사용할 수 있는 기능을 제공한다.,윈도 XP에서 여러 대의 모니터를 연결하기 위해서는 PCI 또는 AGP 비디오 어댑터를 사용해야 한다.,Information Technology,0.8
한글 Windows XP에서 인터넷을 사용하기 위하여 설정하는 TCP/IP 정보에 관한 설명으로 옳지 않은 것은?,3,게이트웨이는 TCP/IP 네트워크 사이에서 IP 패킷을 라우팅하거나 전달할 수 있는 여러 개의 실제 TCP/IP 네트워크에 연결된 장치이다.,인터넷에 연결된 호스트 컴퓨터의 숫자로 된 고유의 32비트 주소를 IP 주소라고 한다.,사용 중인 컴퓨터의 IP 주소는 반드시 입력하여야 한다.,DNS 서버는 도메인명을 IP 주소로 바꿔주는 역할을 한다.,Information Technology,0.0
전자관인에 대한 설명 중 옳지 않은 것은?,3,전자관인은 일반관인과 동일한 효력을 발생시킨다.,전자문서의 작성기관 및 변경여부를 확인 할 수 있도록 비대칭 암호화 방식을 이용한다.,전자관인 생성키로 생성한 정보로 일반 전자문서에서 공통적으로 사용할 수 있다.,컴퓨터 등 정보처리 능력을 가진 장치에 의하여 전자적인 이미지 형태로 사용되는 관인을 '전자이미지관인'이라 한다.,Information Technology,0.0
한글 Windows XP에서 사용하는 폴더나 파일에 관한 설명으로 옳지 않은 것은?,2,[탐색기]에서 임의의 폴더를 플로피디스크에 복사하려면 해당 폴더를 선택한 후에 [파일] 메뉴의 [보내기]에서 [3.5 플로피(A:)]를 선택한다.,공유된 폴더는 다른 디스크로 복사될 수 없고 이동만 가능하다.,"파일을 복사하려면 [편집] 메뉴의 [복사]를 이용할 수 있으며, 다른 위치로 이동시키려면 [편집] 메뉴의 [잘라내기]를 이용할 수 있다.",두 개 이상의 폴더나 파일을 선택할 경우에는 [Ctrl] 키를 누른 상태로 원하는 항목을 하나씩 클릭한다.,Information Technology,0.0
한글 Windows XP의 [보조프로그램]에 있는 [엔터테인먼트]에 관한 설명으로 옳은 것은?,1,[볼륨 조절]을 선택하면 사운드의 볼륨 조절뿐 아니라 음소거와 밸런스 조정을 할 수 있다.,[녹음기]는 사운드를 저장만 할 수 있으며 사운드의 재생은 [Windows Media Player]을 사용한다.,"[Windows Media Player]에서는 다양한 형식의 사운드 파일을 녹음, 재생, 편집할 수 있다.",[녹음기]에서는 사운드를 mp3 형식의 파일로 저장할 수 있다.,Information Technology,0.75
한글 Windows XP에서 파일과 폴더의 관리에 관한 설명으로 옳은 것은?,4,"[탐색기]에서 불연속적으로 위치한 여러 개의 파일을 선택하려면, [Shift]키를 누른 상태에서 개체를 마우스 클릭으로 선택하면 된다.","같은 드라이브에 있는 파일을 마우스를 사용하여 복사하려면, 원하는 파일을 선택한 후에 [Shift]키를 누른 체 원하는 곳으로 ‘드래그 앤 드롭’하면 된다.",[휴지통]에 있는 실행형 파일(*.exe)은 복원될 수 없다.,사용자 ID가 ‘wp' 일 경우에 해당 파일의 바로 가기 메뉴에 있는 [보내기]에 항목을 추가하려면 ’C:\Documents and Settings\wp \SendTo' 폴더에 원하는 위치의 바로가기 아이콘을 추가하면 된다.,Information Technology,0.0
한글 Windows XP의 문서 편집기인 [메모장]에 관한 설명으로 옳지 않은 것은?,2,[메모장]에서 문서 파일명에 사용하는 확장자의 기본 형식은 ‘.TXT' 이다.,"틀린 문자를 입력하면, 오류를 수정하는 [자동 맞춤법] 기능이 있다.","편집 용지의 크기, 방향, 여백을 설정할 수 있으며, 머리글과 바닥 글을 지정할 수 있다.",[메모장]에는 문장이 긴 텍스트를 수평 스크롤을 하지 않고 화면에서 볼 수 있도록 하는 [자동 줄 바꿈] 기능이 있다.,Information Technology,0.0
한글 Windows XP에서 [시스템 도구]에 있는 [시스템 정보]에 관한 설명으로 옳지 않은 것은?,4,시스템 구성정보를 수집하여 연관된 시스템 항목을 표시할 수 있는 메뉴를 제공한다.,"하드웨어 리소스에는 DMA, IRQ, I/O 주소 및 메모리 주소를 보여준다.",구성요소는 시스템 구성요소에 관한 관련된 정보를 표시한다.,소프트웨어 환경은 컴퓨터에 설치된 모든 소프트웨어의 스냅샷(Snapshot)을 표시한다.,Information Technology,0.0
한글 Windows XP의 [탐색기] 창에서 임의의 폴더를 선택하고[보기]메뉴의 [현재 폴더 사용자 지정]을 선택하였을 때 설정할 수 없는 내용은?,4,선택한 폴더의 [읽기 전용] 특성을 설정할 수 있다.,선택한 폴더의 공유를 설정할 수 있다.,미리 보기 이외의 모든 보기에서 표준 폴더 아이콘을 다른 아이콘으로 변경할 수 있다.,제목 표시줄에 해당 폴더의 전체 경로를 표시할 수 있게 설정할 수 있다.,Information Technology,0.0
한글 Windows XP에서 제공하는 [도움말 및 지원] 기능에 대한 설명으로 옳은 것은?,1,검색된 도움말의 내용은 하이퍼텍스트 기능이 있다.,[도움말 및 지원센터] 창의 오른쪽 프레임에 있는 내용은 글꼴과 색을 바꿀 수 있다.,[도움말 및 지원]의 실제적인 프로그램은 C:\Windows\Help.exe이다.,검색된 도움말 내용은 수정이 가능하다.,Information Technology,0.75
한글 Windows XP의 [제어판]에 있는 [키보드]를 이용하여 설정할 수 있는 기능은?,1,키보드의 드라이버 소프트웨어를 업데이트할 수 있다.,키보드의 인터럽트 요청 값을 수정할 수 있다.,키보드 자판 종류를 두벌식에서 세벌식으로 변경할 수 있다.,키보드의 입/출력 범위를 수정할 수 있다.,Information Technology,0.75
"한글 Windows XP에서 사용자와 관련된 기능을 올바르게 설명한 것은?(문제오류로 실제 시험에서는 1,2,3번이 정답 처리된 문제 입니다. 여기서는 1번을 정답 처리 합니다.)",1,상대방이 사용자의 컴퓨터를 연결할 수 있도록 원격 지원을 제공한다.,시스템 사용자마다 서로 다른 사용자 환경을 갖도록 설정하는 기능을 제공한다.,사용자의 암호 변경 기능을 제공한다.,일정 주기마다 사용자의 암호를 변경하도록 하는 메시지를 사용자에게 알리는 기능을 제공한다.,Information Technology,0.75
한글 Windows XP에서 [시작] 메뉴에 있는 [검색]을 이용한 컴퓨터 검색 기능을 올바르게 설명한 것은?,1,NetBEUI 프로토콜로 연결된 컴퓨터를 찾을 수 있다.,네트워크로 연결된 컴퓨터 내의 모든 내용을 볼 수 있다.,네트워크 사용자에 대한 메일주소 정보를 볼 수 있다.,현재 사용 중인 컴퓨터에 공유 폴더가 있어야만 컴퓨터를 찾을 수 있다.,Information Technology,0.75
한글 Windows XP에서 네트워크 구성 요소에 대한 설명을 옳지 않은 것은?,1,서비스(Service)는 네트워크에서 파일을 송수신하는 프로그램으로 방화벽 서비스를 포함한다.,클라이언트(Client)는 네트워크를 통해 다른 컴퓨터에 연결하여 컴퓨터 및 파일을 액세스할 수 있도록 한다.,어댑터(Adapter)는 컴퓨터를 물리적으로 네트워크에 연결하는 하드웨어 장치이다.,프로토콜(Protocol)은 컴퓨터가 네트워크에서 통신하는데 사용하는 통신규약이다.,Information Technology,0.6
한글 Windows XP에서 시스템을 시작하는데 필요한 Windows 시스템 파일이 손상된 경우에는 안전모드를 사용해도 문제를 해결할 수 없다. 이런 경우에 사용할 수 있는 해결 방법으로 가장 적절한 것은?,2,시작 메뉴에서 표준 모드로 Windows를 시작한다.,복구 콘솔을 사용한다.,휴지통에 있는 파일을 복원하고 재부팅한다.,시작 메뉴에서 디버그 모드로 시작한다.,Information Technology,0.0
한글 Windows XP의 네트워크 환경에서 [로컬 영역 연결]에 관한 설명으로 옳지 않은 것은?,3,네트워크 어댑터를 설치하면 Windows는 이 어댑터를 발견하고 로컬 영역 연결을 만든다.,"[네트워크 연결] 폴더에 나타나며, 기본적으로 로컬 영역 연결은 항상 활성화되어 있다.","로컬 영역 연결은 수동으로 구축되고, 활성화되는 유일한 연결 유형이다.","컴퓨터에 네트워크 어댑터가 여러 개가 있으면, 각 어댑터에 대한 로컬 영역 연결 아이콘이 네트워크 연결 폴더에 표시된다.",Information Technology,0.0
한글 Windows XP의 [제어판]에 있는 [사용자 계정]과 관련하여 [제한된 계정]을 설명한 것으로 옳지 않은 것은?,4,제한된 계정을 가진 사용자는 프로그램에 따라 설치를 못할 수도 있다.,제한된 계정을 가진 사용자는 공유된 문서 폴더의 내용을 볼 수 있다.,제한된 계정을 가진 사용자는 본인의 암호를 변경할 수 있다.,제한된 계정을 가진 사용자는 새로이 제한된 사용자의 계정을 만들 수 있다.,Information Technology,0.0
한글 Windows XP의 [인터넷 프로토콜(TCP/IP) 등록정보] 창에서 인터넷을 사용하기 위하여 설정하는 IP 주소에 관한 설명으로 옳지 않은 것은?,3,네트워크 관리자나 인터넷 서비스 공급자가 제공한 인터넷 프로토콜의 주소를 직접 지정할 수 있다.,0에서 255까지 숫자 4개로 구분하여 표기하는 32비트 정보이다.,DNS 서버에 의해서 문자로 된 실제 주소로 변환되어 사용된다.,DHCP 서버로부터 동적으로 인터넷 프로토콜 주소를 지정할 경우에는 [자동으로 IP 주소 받기]를 설정한다.,Information Technology,0.0
한글 Windows XP에서 사용하는 USB(Universal Serial Bus) 연결 방식에 대한 설명으로 옳지 않은 것은?,4,여러 개의 직렬장치를 하나의 방식으로 통합하여 사용 할 수 있게 해주는 주변기기 연결 방식이다.,시스템 사용 중에도 USB 관련 연결 장치의 설치/제거가 자유롭다.,USB로 연결할 수 있는 주변기기의 최대 개수는 127개이다.,"USB로 연결된 주변기기는 RS232C 포트를 사용하는 경우 보다 데이터 전송 속도는 느리지만, 다양한 주변기기를 연결할 수 있다.",Information Technology,0.0
실제로는 악성코드로 행동하지 않으면서 겉으로는 악성코드인 것처럼 가장하여 행동하는 소프트웨어를 무엇이라고 하는가?,4,백도어(Back Door),드롭퍼(Dropper),스파이웨어(Spyware),혹스(Hoax),Information Technology,0.0
CD-ROM의 작동 원리는 CD에는 트랙을 따라 무수히 많은 홈들이 있고 홈이 파인 부분(A)과 평평한 부분(B)이 있는데 CD-ROM의 내부에는 “레이저 픽업”이라는 것이 있어 CD 표면에 레이저를 쏴 (A)와 (B)의 빛의 반사량 차이로 데이터를 읽어 낸다. (A)와 (B)를 무엇이라고 하는가?,2,SECTOR 와 TRACK,PIT 와 LAND,READ 와 WRITE,CD 와 ROM,Information Technology,0.0
"초당 24프레임의 만화영화 30분 분량을 100:1로 압축하여 저장하면 파일의 크기는 몇 GByte에 가장 가까운가? 단, 만화영상의 해상도는 16비트 하이컬러의 1,024 X 768 이다.",1,0.64 GByte,1.5 GByte,5.44 GByte,10 GByte,Information Technology,0.75
어셈블리 언어와 관련한 설명으로 틀린 것은?,1,예약어(Reserved Word)는 특정 시간에 사용할 수 있도록 사용자가 정의한 명령어들의 집합이다.,식별자(Identifier)는 프로그래머가 선택한 이름으로 변수나 상수 등에 사용된다.,디렉티브(Directive)는 프로그램의 소스코드를 어셈블할 때 어셈블러가 인식하고 활용하는 명령어이다.,명령어(Instruction)는 프로그램이 메모리에 탑재되어 실행될 때 프로세서에 의하여 실행되는 문장이다.,Information Technology,0.5694
사무문서를 쉽게 작성하고 판단사무를 작업사무화하는 것과 관계 있는 사무관리의 원칙은?,1,용이성,경제성,정확성,신속성,Information Technology,0.5
"결재권자가 휴가, 출장 기타의 사유로 결재할 수 없는 때에 그 직무를 대리하는자가 할 수 있는 것은?",3,위임 전결,후결,대결,후열,Information Technology,0.0
2장 이상으로 이루어진 문서 앞장의 뒷면과 뒷장의 앞면에 걸쳐 찍는 도장을 무엇이라고 하는가?,4,관인,직인,청인,간인,Information Technology,0.0
한글 Windows 98에서 열려진 창을 닫거나 프로그램을 종료할 때 사용하는 바로가기 키는?,2,[F5],[Alt] + [F4],[Alt] + [Tab],[F2],Information Technology,0.5
한글 Windows 98에서 [Ctrl] + C를 눌러서 특정 내용을 복사한 경우 그 내용이 임시로 저장되는 공간을 무엇이라고 하는가?,4,하드디스크,클립아트,로컬디스크,클립보드,Information Technology,0.5
